type,image,
non-defective,C:\Users\Arpit\Desktop\Python\non-defective\1300S-Pic-1-1200x909.jpg,
non-defective,C:\Users\Arpit\Desktop\Python\non-defective\25Kg-Bread-Dough-Mixer-HS50-Commercial-Spiral-Dough-Mixer.webp,
non-defective,C:\Users\Arpit\Desktop\Python\non-defective\5710a0bb-7760-4aac-8b7e-5c9df917bac6_1.359851058a12be7464fb91c5f30b2014.webp,1000_QL80_.jpg
non-defective,C:\Users\Arpit\Desktop\Python\non-defective\61m915k5SFL._AC_UF1000,
non-defective,C:\Users\Arpit\Desktop\Python\non-defective\71SzCE8JMuL.jpg,
non-defective,C:\Users\Arpit\Desktop\Python\non-defective\76200010-c2b1-4ce0-b0ad-6c70ce6189ba_1.dc2dda49a76a8ed9678fa89c513bda28.webp,
non-defective,C:\Users\Arpit\Desktop\Python\non-defective\96d7ad4d1735e93ce856b18fbd2ba2ab.jpg,
non-defective,C:\Users\Arpit\Desktop\Python\non-defective\AT180.jpg,
non-defective,C:\Users\Arpit\Desktop\Python\non-defective\belt-conveyor.jpg,
non-defective,C:\Users\Arpit\Desktop\Python\non-defective\bigstock--164595773.jpg,
non-defective,C:\Users\Arpit\Desktop\Python\non-defective\dddss-500x500.webp,
non-defective,C:\Users\Arpit\Desktop\Python\non-defective\hammer-pound-bob-hammer-in.jpg,
non-defective,C:\Users\Arpit\Desktop\Python\non-defective\hammer-with-a-broken-handle-on-a-wooden-background-TRCB3B.jpg,
non-defective,C:\Users\Arpit\Desktop\Python\non-defective\high-speed-drill-bit-500x500.webp,
non-defective,C:\Users\Arpit\Desktop\Python\non-defective\honda-inverter-generators-eu3000is1a-64_1000.jpg,
non-defective,C:\Users\Arpit\Desktop\Python\non-defective\HTB1RcsDM7voK1RjSZFNq6AxMVXav.avif,
non-defective,C:\Users\Arpit\Desktop\Python\non-defective\images (10).jfif,
non-defective,C:\Users\Arpit\Desktop\Python\non-defective\images (12).jfif,
non-defective,C:\Users\Arpit\Desktop\Python\non-defective\images (13).jfif,
non-defective,C:\Users\Arpit\Desktop\Python\non-defective\images (7).jfif,
non-defective,C:\Users\Arpit\Desktop\Python\non-defective\images (8).jfif,
non-defective,C:\Users\Arpit\Desktop\Python\non-defective\images (9).jfif,
non-defective,C:\Users\Arpit\Desktop\Python\non-defective\images.jfif,
non-defective,C:\Users\Arpit\Desktop\Python\non-defective\industrial-air-compressors-500x500.webp,
non-defective,C:\Users\Arpit\Desktop\Python\non-defective\industrial-centrifuge-500x500.webp,
non-defective,C:\Users\Arpit\Desktop\Python\non-defective\Industrial-mixing-equipment-by-Philadelphia-industrial-photographer-Richard-Quindry.jpg,
